"","Case","Bin","Tech","Accuracy"
"73","9353","10000","Sesame",0.374081161254156
"74","9354","10000","Sesame",0.648091465285063
"75","9355","10000","Sesame",0.552085985521741
"76","9356","10000","Sesame",0.500049665674626
"77","9357","10000","Sesame",0.387212175266188
"78","9358","10000","Sesame",0.373867711529516
"79","9202","1e+05","Sesame",0.997867934210162
"80","9203","1e+05","Sesame",0.999307339585749
"81","9327","1e+05","Sesame",0.403038834007621
"82","9328","1e+05","Sesame",0.248380787760986
"83","9337","1e+05","Sesame",0.661954789972794
"84","9338","1e+05","Sesame",0.22410220022631
"85","9350","1e+05","Sesame",0.209977139610579
"86","9353","1e+05","Sesame",0.455480656026531
"87","9354","1e+05","Sesame",0.651727399982064
"88","9355","1e+05","Sesame",0.541853986253843
"89","9356","1e+05","Sesame",0.500062744116041
"90","9357","1e+05","Sesame",0.45916079102445
"91","9358","1e+05","Sesame",0.345478346375661
"92","9202","1e+06","Sesame",0.998316694444349
"93","9203","1e+06","Sesame",0.999497095065083
"94","9327","1e+06","Sesame",0.304107590371338
"95","9328","1e+06","Sesame",0.234642917514654
"96","9337","1e+06","Sesame",0.732155139030927
"97","9338","1e+06","Sesame",0.261069360044939
"98","9350","1e+06","Sesame",0.219523527719752
"99","9353","1e+06","Sesame",0.326988040039284
"100","9354","1e+06","Sesame",0.659197837403161
"101","9355","1e+06","Sesame",0.580352436792288
"102","9356","1e+06","Sesame",0.512295058670191
"103","9357","1e+06","Sesame",0.33660484567477
"104","9358","1e+06","Sesame",0.424004842870152
"105","9202","50000","Conumee",1
"106","9203","50000","Conumee",1
"107","9327","50000","Conumee",0.691023944454521
"108","9328","50000","Conumee",0.30903689398312
"109","9337","50000","Conumee",0.950107227103566
"110","9338","50000","Conumee",0.228903770374248
"111","9350","50000","Conumee",0.210154990664282
"112","9353","50000","Conumee",0.495983162968056
"113","9354","50000","Conumee",0.658595709983152
"114","9355","50000","Conumee",0.602236487429693
"115","9356","50000","Conumee",0.538660283087911
"116","9357","50000","Conumee",0.50622669012765
"117","9358","50000","Conumee",0.499703062787798
"118","9202","10000","Conumee",1
"119","9203","10000","Conumee",1
"120","9327","10000","Conumee",0.692117668540408
"121","9328","10000","Conumee",0.306268354012248
"122","9337","10000","Conumee",0.886828189023437
"123","9338","10000","Conumee",0.249002050930601
"124","9350","10000","Conumee",0.21004533195517
"125","9353","10000","Conumee",0.503999875155017
"126","9354","10000","Conumee",0.65482911368495
"127","9355","10000","Conumee",0.601149287237095
"128","9356","10000","Conumee",0.518537582019159
"129","9357","10000","Conumee",0.503663127344585
"130","9358","10000","Conumee",0.499343781320884
"131","9202","1e+05","Conumee",0.999951075276659
"132","9203","1e+05","Conumee",1
"133","9327","1e+05","Conumee",0.692236326516031
"134","9328","1e+05","Conumee",0.29216991589601
"135","9337","1e+05","Conumee",0.926335192420433
"136","9338","1e+05","Conumee",0.214122682014698
"137","9350","1e+05","Conumee",0.209759301703873
"138","9353","1e+05","Conumee",0.499874273165777
"139","9354","1e+05","Conumee",0.655041784151709
"140","9355","1e+05","Conumee",0.601897674888116
"141","9356","1e+05","Conumee",0.584836129124197
"142","9357","1e+05","Conumee",0.503706107294811
"143","9358","1e+05","Conumee",0.486845588240426
"144","9202","1e+06","Conumee",1
"145","9203","1e+06","Conumee",1
"146","9327","1e+06","Conumee",0.691910267229268
"147","9328","1e+06","Conumee",0.320089596420235
"148","9337","1e+06","Conumee",0.929233880591446
"149","9338","1e+06","Conumee",0.20586697131768
"150","9350","1e+06","Conumee",0.216431753833138
"151","9353","1e+06","Conumee",0.532013758304114
"152","9354","1e+06","Conumee",0.632532996716437
"153","9355","1e+06","Conumee",0.701263758736778
"154","9356","1e+06","Conumee",0.561362973955434
"155","9357","1e+06","Conumee",0.513645773335492
"156","9358","1e+06","Conumee",0.486854124294326
