"","Case","Bin","Tech","Accuracy"
"60","9353","50000","Sesame",0.488674648188616
"61","9354","50000","Sesame",0.57052308846763
"62","9355","50000","Sesame",0.566933222658502
"63","9356","50000","Sesame",0.552129953347415
"64","9357","50000","Sesame",0.493478608344462
"65","9358","50000","Sesame",0.428069635041116
"66","9202","10000","Sesame",0.882762555621179
"67","9203","10000","Sesame",0.968334256474982
"68","9327","10000","Sesame",0.483326855304315
"69","9328","10000","Sesame",0.242396033275845
"70","9337","10000","Sesame",0.663640354344559
"71","9338","10000","Sesame",0.265668749663819
"72","9350","10000","Sesame",0.28302579834199
"73","9353","10000","Sesame",0.488226092460009
"74","9354","10000","Sesame",0.571188039924923
"75","9355","10000","Sesame",0.565880256861865
"76","9356","10000","Sesame",0.557057167681266
"77","9357","10000","Sesame",0.509380850892563
"78","9358","10000","Sesame",0.439574802264019
"79","9202","1e+05","Sesame",0.826991584759447
"80","9203","1e+05","Sesame",0.976009264216139
"81","9327","1e+05","Sesame",0.46516758037239
"82","9328","1e+05","Sesame",0.241947246965255
"83","9337","1e+05","Sesame",0.688958813800126
"84","9338","1e+05","Sesame",0.240933689707298
"85","9350","1e+05","Sesame",0.271930691167442
"86","9353","1e+05","Sesame",0.509926912826955
"87","9354","1e+05","Sesame",0.573470493132384
"88","9355","1e+05","Sesame",0.549783540709812
"89","9356","1e+05","Sesame",0.550883140724503
"90","9357","1e+05","Sesame",0.511549666001308
"91","9358","1e+05","Sesame",0.440939311471644
"92","9202","1e+06","Sesame",0.84437429177041
"93","9203","1e+06","Sesame",0.935694607899157
"94","9327","1e+06","Sesame",0.429188186273039
"95","9328","1e+06","Sesame",0.241414042255152
"96","9337","1e+06","Sesame",0.716544154088784
"97","9338","1e+06","Sesame",0.236867425334788
"98","9350","1e+06","Sesame",0.274812631017151
"99","9353","1e+06","Sesame",0.463024842009541
"100","9354","1e+06","Sesame",0.576363627127754
"101","9355","1e+06","Sesame",0.569563383751209
"102","9356","1e+06","Sesame",0.550516298151189
"103","9357","1e+06","Sesame",0.484894860927192
"104","9358","1e+06","Sesame",0.469685424033847
"105","9202","50000","Conumee",0.98123878576321
"106","9203","50000","Conumee",0.99850442406909
"107","9327","50000","Conumee",0.595723172298524
"108","9328","50000","Conumee",0.298234983218394
"109","9337","50000","Conumee",0.842484078327407
"110","9338","50000","Conumee",0.218793172882915
"111","9350","50000","Conumee",0.276510020510799
"112","9353","50000","Conumee",0.569080007468944
"113","9354","50000","Conumee",0.577378534568953
"114","9355","50000","Conumee",0.597348937174347
"115","9356","50000","Conumee",0.574055922344407
"116","9357","50000","Conumee",0.574286118559964
"117","9358","50000","Conumee",0.497928484047806
"118","9202","10000","Conumee",0.981716939037874
"119","9203","10000","Conumee",0.978855129350059
"120","9327","10000","Conumee",0.595043446090928
"121","9328","10000","Conumee",0.292226195563811
"122","9337","10000","Conumee",0.821829137883135
"123","9338","10000","Conumee",0.244487679076265
"124","9350","10000","Conumee",0.285576521079766
"125","9353","10000","Conumee",0.564898916873422
"126","9354","10000","Conumee",0.553708767785174
"127","9355","10000","Conumee",0.585040180556174
"128","9356","10000","Conumee",0.545496236416359
"129","9357","10000","Conumee",0.572806233391571
"130","9358","10000","Conumee",0.497460416663403
"131","9202","1e+05","Conumee",0.987429619353986
"132","9203","1e+05","Conumee",0.998123859300854
"133","9327","1e+05","Conumee",0.595586678527211
"134","9328","1e+05","Conumee",0.295758024943942
"135","9337","1e+05","Conumee",0.822925799279599
"136","9338","1e+05","Conumee",0.221297286704592
"137","9350","1e+05","Conumee",0.282535721056728
"138","9353","1e+05","Conumee",0.570923755957733
"139","9354","1e+05","Conumee",0.577958189612204
"140","9355","1e+05","Conumee",0.605410100864612
"141","9356","1e+05","Conumee",0.580593276105783
"142","9357","1e+05","Conumee",0.564731403081545
"143","9358","1e+05","Conumee",0.504501066137228
"144","9202","1e+06","Conumee",0.9924516776196
"145","9203","1e+06","Conumee",0.99311724282201
"146","9327","1e+06","Conumee",0.613951346153352
"147","9328","1e+06","Conumee",0.302854054415692
"148","9337","1e+06","Conumee",0.819494408642175
"149","9338","1e+06","Conumee",0.223004850570667
"150","9350","1e+06","Conumee",0.304366364704257
"151","9353","1e+06","Conumee",0.57839486048686
"152","9354","1e+06","Conumee",0.55707128813564
"153","9355","1e+06","Conumee",0.636689606868644
"154","9356","1e+06","Conumee",0.569411455231589
"155","9357","1e+06","Conumee",0.554013019897574
"156","9358","1e+06","Conumee",0.517961773963217
